Factor,MSE_Val,MSE_Test,MAE_Val,MAE_Test
EXT,1.0803504833359037,1.0791294796862354,0.8164599190124459,0.8162125263338647
EST,0.8691443159543347,0.8659615512270623,0.7166631005229124,0.715061810332806
AGR,0.8143545813355413,0.8131187072047587,0.6878667835114385,0.6869740969946455
CSN,0.9801206392528469,0.9793681566919803,0.7843496636422459,0.7837618653989494
OPN,0.7720419718970156,0.7695516831152509,0.6652936719437896,0.6647108092665603
